Date,Calendar
9/26/20,2
9/27/20,2
9/28/20,1
9/29/20,1
9/30/20,1
10/1/20,1
10/2/20,1
10/3/20,2
10/4/20,2
10/5/20,1
10/6/20,1
10/7/20,1
10/8/20,1
10/9/20,1
10/10/20,2
10/11/20,2
10/12/20,3
10/13/20,1
10/14/20,1
10/15/20,1
10/16/20,1
10/17/20,2
10/18/20,2
10/19/20,1
10/20/20,1
10/21/20,1
10/22/20,1
10/23/20,1
10/24/20,2
10/25/20,2
10/26/20,1
10/27/20,1
10/28/20,1
10/29/20,1
10/30/20,1
10/31/20,2
11/1/20,2
11/2/20,1
11/3/20,1
11/4/20,1
11/5/20,1
11/6/20,1
11/7/20,2
11/8/20,2
11/9/20,1
11/10/20,1
11/11/20,1
11/12/20,1
11/13/20,1
11/14/20,2
11/15/20,2
11/16/20,1
11/17/20,1
11/18/20,1
11/19/20,1
11/20/20,1
11/21/20,2
11/22/20,2
11/23/20,3
11/24/20,3
11/25/20,3
11/26/20,3
11/27/20,3
11/28/20,2
11/29/20,2
11/30/20,1
12/1/20,1
12/2/20,1
12/3/20,1
12/4/20,1
12/5/20,2
12/6/20,2
12/7/20,1
12/8/20,1
12/9/20,1
12/10/20,1
12/11/20,1
12/12/20,2
12/13/20,2
12/14/20,1
12/15/20,1
12/16/20,1
12/17/20,1
12/18/20,1
12/19/20,2
12/20/20,2
12/21/20,4
12/22/20,4
12/23/20,4
12/24/20,3
12/25/20,3
12/26/20,2
12/27/20,2
12/28/20,4
12/29/20,4
12/30/20,4
12/31/20,3
1/1/21,3
1/2/21,2
1/3/21,2
1/4/21,4
1/5/21,4
1/6/21,1
1/7/21,1
1/8/21,1
1/9/21,2
1/10/21,2
1/11/21,1
1/12/21,1
1/13/21,1
1/14/21,1
1/15/21,1
1/16/21,2
1/17/21,2
1/18/21,3
1/19/21,1
1/20/21,1
1/21/21,1
1/22/21,1
1/23/21,2
1/24/21,2
1/25/21,1
1/26/21,1
1/27/21,1
1/28/21,1
1/29/21,1
1/30/21,2
1/31/21,2
2/1/21,1
2/2/21,1
2/3/21,1
2/4/21,1
2/5/21,1
2/6/21,2
2/7/21,2
2/8/21,1
2/9/21,1
2/10/21,1
2/11/21,1
